-650 -314 370 326 1 1
-650 -314 322 326 1 1
-640 -314 311 326 1 1
-630 -314 300 326 1 1
-619 -314 289 326 1 1
-609 -314 278 326 1 1
-598 -314 267 326 1 1
-588 -314 256 326 1 1
-577 -314 245 326 1 1
-567 -314 235 326 1 1
-556 -314 224 326 1 1
-546 -314 213 326 1 1
-535 -314 202 326 1 1
-525 -314 191 326 1 1
-514 -314 180 326 1 1
-504 -314 169 326 1 1
-493 -314 158 326 1 1
-483 -314 148 326 1 1
-473 -314 137 326 1 1
-462 -314 126 326 1 1
-442 -314 115 326 1 0
-421 -314 104 326 1 0
-401 -314 93 326 1 0
-380 -314 82 326 1 0
-360 -314 72 326 1 0
-339 -314 61 326 1 0
-319 -314 50 326 1 0
-298 -314 39 326 1 0
-278 -314 28 326 1 0
-257 -314 17 326 1 0
-257 -314 6 326 1 0
-256 -314 -5 326 1 0
-256 -314 -15 326 1 0
-256 -314 -26 326 1 0
-255 -314 -31 326 1 0
-255 -353 752 389 1 0
-254 -353 352 389 1 0
-272 -353 339 389 1 1
-261 -353 326 389 1 1
-249 -353 313 389 1 1
-237 -353 300 389 1 1
-225 -353 287 389 1 1
-214 -353 274 389 1 1
-202 -353 261 389 1 1
-190 -353 248 389 1 1
-178 -353 235 389 1 1
-167 -353 222 389 1 1
-155 -353 209 389 1 1
-143 -353 196 389 1 1
-131 -353 183 389 1 1
-119 -353 170 389 0 1
-108 -353 149 389 0 1
-96 -353 129 389 0 1
-84 -353 109 389 0 1
-72 -353 91 389 0 1
-61 -353 73 389 0 1
-49 -353 57 389 0 1
-37 -353 41 389 0 1
-15 -353 26 389 0 0
6 -353 12 389 0 0
28 -353 -1 389 0 0
50 -353 -13 389 0 0
72 -353 -24 389 0 0
94 -353 -35 389 0 0
115 -353 -44 389 0 0
110 -353 -53 389 0 0
-600 -384 -55 330 0 0
-610 -375 735 392 0 0
-608 -375 342 392 0 0
-605 -375 336 392 1 0
-603 -375 325 392 1 0
-600 -375 312 392 1 1
-588 -375 299 392 1 1
-575 -375 286 392 1 1
-563 -375 273 392 1 1
-550 -375 260 392 1 1
-538 -375 247 392 1 1
-525 -375 234 392 1 1
-513 -375 221 392 1 1
-500 -375 208 392 1 1
-488 -375 195 392 1 1
-475 -375 182 392 1 1
-463 -375 169 392 1 1
-450 -375 156 392 1 1
-438 -375 142 392 1 1
-425 -375 129 392 1 1
-413 -375 116 392 1 1
-400 -375 103 392 1 1
-388 -375 90 392 1 1
-365 -375 77 392 1 0
-343 -375 64 392 1 0
-320 -375 51 392 1 0
-298 -375 38 392 1 0
-275 -375 25 392 1 0
-253 -375 12 392 1 0
-230 -375 -1 392 1 0
-228 -375 -14 392 1 0
-225 -375 -27 392 1 0
-223 -375 -31 392 1 0
-220 -337 752 398 1 0
-218 -337 352 398 1 0
-216 -337 338 398 1 0
-215 -337 325 398 1 1
-204 -337 312 398 1 1
-193 -337 298 398 1 1
-182 -337 285 398 1 1
-170 -337 272 398 1 1
-159 -337 259 398 0 1
-148 -337 237 398 0 1
-137 -337 217 398 0 1
-125 -337 197 398 0 1
-114 -337 178 398 0 1
-103 -337 161 398 0 1
-92 -337 144 398 0 1
-80 -337 128 398 0 1
-69 -337 113 398 0 1
-58 -337 98 398 0 1
-47 -337 85 398 0 1
-36 -337 72 398 0 1
-24 -337 61 398 0 1
-13 -337 50 398 0 1
8 -337 40 398 0 0
29 -337 31 398 0 0
51 -337 23 398 0 0
72 -337 16 398 0 0
93 -337 10 398 0 0
110 -337 4 398 1 0
-580 -348 -7 351 1 0
-590 -348 -20 351 1 0
-589 -348 -31 351 1 0
-587 -342 752 393 1 0
-586 -342 352 393 1 0
-584 -342 338 393 1 0
-583 -342 325 393 1 0
-581 -342 312 393 1 1
-570 -342 299 393 1 1
-559 -342 286 393 1 1
-547 -342 273 393 1 1
-536 -342 260 393 1 1
-525 -342 247 393 1 1
-513 -342 234 393 1 1
-502 -342 221 393 1 1
-490 -342 207 393 1 1
-479 -342 194 393 1 1
-468 -342 181 393 1 1
-456 -342 168 393 1 1
-445 -342 155 393 1 1
-433 -342 142 393 1 1
-422 -342 129 393 1 1
-411 -342 116 393 1 1
-399 -342 103 393 1 1
-388 -342 90 393 1 1
-376 -342 76 393 1 1
-365 -342 63 393 1 1
-354 -342 50 393 1 1
-332 -342 37 393 1 0
-311 -342 24 393 1 0
-289 -342 11 393 1 0
-268 -342 -2 393 1 0
-247 -342 -15 393 1 0
-225 -342 -28 393 1 0
-204 -342 -31 393 1 0
-202 -324 752 306 1 0
-201 -324 352 306 1 0
-200 -324 341 306 1 0
-199 -324 331 306 1 0
-199 -324 321 306 1 0
-198 -324 311 306 1 0
-197 -324 301 306 1 1
-186 -324 290 306 1 1
-175 -324 280 306 1 1
-165 -324 270 306 1 1
-154 -324 260 306 1 1
-143 -324 250 306 1 1
-132 -324 239 306 0 1
-121 -324 221 306 0 1
-111 -324 204 306 0 1
-100 -324 187 306 0 1
-89 -324 171 306 0 1
-78 -324 157 306 0 1
-67 -324 143 306 0 1
-57 -324 130 306 0 1
-46 -324 118 306 0 1
-35 -324 107 306 0 1
-24 -324 96 306 0 1
-13 -324 87 306 0 1
-3 -324 78 306 0 1
8 -324 71 306 0 1
19 -324 64 306 0 1
30 -324 58 306 0 1
41 -324 53 306 0 1
60 -324 49 306 0 0
-630 -344 46 382 0 0
-620 -344 43 382 1 0
-599 -344 33 382 1 0
-578 -344 20 382 1 0
-556 -344 7 382 1 0
-535 -344 -5 382 1 0
-533 -344 -18 382 1 0
-532 -344 -31 382 1 0
-530 -344 -31 382 1 0
-529 -348 752 389 1 0
-527 -348 352 389 1 0
-526 -348 339 389 1 0
-524 -348 326 389 1 1
-512 -348 313 389 1 1
-501 -348 300 389 1 1
-489 -348 287 389 1 1
-478 -348 274 389 1 1
-466 -348 261 389 1 1
-454 -348 248 389 1 1
-443 -348 235 389 1 1
-431 -348 222 389 1 1
-420 -348 209 389 1 1
-408 -348 196 389 1 1
-396 -348 183 389 1 1
-385 -348 170 389 1 1
-373 -348 157 389 1 1
-362 -348 144 389 1 1
-350 -348 131 389 1 1
-338 -348 118 389 1 1
-327 -348 105 389 1 1
-315 -348 92 389 1 1
-304 -348 79 389 1 1
-282 -348 66 389 1 0
-260 -348 53 389 1 0
-239 -348 40 389 1 0
-217 -348 27 389 1 0
-196 -348 14 389 1 0
-174 -348 1 389 1 0
-152 -348 -12 389 1 0
-151 -348 -25 389 1 0
-149 -348 -31 389 1 0
-148 -354 752 390 1 0
-146 -354 352 390 1 0
-144 -354 339 390 1 0
-142 -354 326 390 1 0
-141 -354 313 390 1 1
-129 -354 300 390 1 1
-117 -354 287 390 1 1
-105 -354 274 390 0 1
-93 -354 252 390 0 1
-82 -354 232 390 0 1
-70 -354 213 390 0 1
-58 -354 194 390 0 1
-46 -354 177 390 0 1
-34 -354 160 390 0 1
-23 -354 144 390 0 1
-11 -354 130 390 0 1
1 -354 116 390 0 1
13 -354 102 390 0 1
25 -354 90 390 0 1
36 -354 79 390 0 1
48 -354 68 390 0 1
50 -354 59 390 0 1
-650 -316 50 329 0 1
-640 -316 42 329 0 0
-620 -316 38 329 0 0
-599 -316 34 329 0 0
-579 -316 30 329 1 0
-558 -316 22 329 1 0
-538 -316 11 329 1 0
-517 -316 0 329 1 0
-517 -316 -11 329 1 0
-516 -316 -22 329 1 0
-516 -316 -31 329 1 0
-515 -330 752 379 1 0
-515 -330 352 379 1 0
-514 -330 339 379 1 0
-513 -330 326 379 1 1
-502 -330 314 379 1 1
-491 -330 301 379 1 1
-480 -330 288 379 1 1
-469 -330 276 379 1 1
-458 -330 263 379 1 1
-447 -330 250 379 1 1
-436 -330 238 379 1 1
-425 -330 225 379 1 1
-414 -330 213 379 1 1
-403 -330 200 379 1 1
-392 -330 187 379 1 1
-381 -330 175 379 1 1
-370 -330 162 379 1 1
-359 -330 149 379 1 1
-348 -330 137 379 1 1
-337 -330 124 379 1 1
-326 -330 111 379 1 1
-315 -330 99 379 1 1
-304 -330 86 379 1 1
-283 -330 74 379 1 0
-262 -330 61 379 1 0
-241 -330 48 379 1 0
-220 -330 36 379 1 0
-199 -330 23 379 1 0
-178 -330 10 379 1 0
-157 -330 -2 379 1 0
-156 -330 -15 379 1 0
-155 -330 -27 379 1 0
-154 -330 -31 379 1 0
-153 -306 752 302 1 0
-152 -306 352 302 1 0
-151 -306 341 302 1 0
-151 -306 331 302 1 1
-141 -306 321 302 1 1
-131 -306 311 302 1 1
-121 -306 301 302 0 1
-110 -306 283 302 0 1
-100 -306 266 302 0 1
-90 -306 249 302 0 1
-80 -306 234 302 0 1
-70 -306 219 302 0 1
-59 -306 205 302 0 1
-49 -306 193 302 0 1
-39 -306 181 302 0 1
-29 -306 170 302 0 1
-19 -306 159 302 0 1
-8 -306 150 302 0 1
2 -306 142 302 0 1
12 -306 134 302 0 1
22 -306 128 302 0 1
32 -306 122 302 0 1
43 -306 117 302 0 1
50 -306 113 302 0 1
-650 -333 110 322 0 1
-650 -333 108 322 1 1
-639 -333 99 322 1 1
-618 -333 88 322 1 0
-597 -333 78 322 1 0
-576 -333 67 322 1 0
-555 -333 56 322 1 0
-534 -333 46 322 1 0
-513 -333 35 322 1 0
-492 -333 24 322 1 0
-491 -333 13 322 1 0
-489 -333 3 322 1 0
-488 -333 -8 322 1 0
-487 -333 -19 322 1 0
-650 -333 752 335 1 1
